"com.jerry.spottimett - Android-versio: Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-04-25"
,,Muuttuja,"Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
Kausi,Päivämäärä
2019-07-08 - 2020-04-25,2019-12-21,,-
2019-07-08 - 2020-04-25,2019-12-22,,-
2019-07-08 - 2020-04-25,2019-12-23,,-
2019-07-08 - 2020-04-25,2019-12-24,,-
2019-07-08 - 2020-04-25,2019-12-25,,-
2019-07-08 - 2020-04-25,2019-12-26,,3
2019-07-08 - 2020-04-25,2019-12-27,,-
2019-07-08 - 2020-04-25,2019-12-28,,1
2019-07-08 - 2020-04-25,2019-12-29,,-
2019-07-08 - 2020-04-25,2019-12-30,,-,Julkaisun käyttöönotto - 5.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-31,,1
2019-07-08 - 2020-04-25,2020-01-01,,-
2019-07-08 - 2020-04-25,2020-01-02,,1
2019-07-08 - 2020-04-25,2020-01-03,,1,Julkaisun käyttöönotto - 5.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-01-04,,1
2019-07-08 - 2020-04-25,2020-01-05,,-
2019-07-08 - 2020-04-25,2020-01-06,,5
2019-07-08 - 2020-04-25,2020-01-07,,-
2019-07-08 - 2020-04-25,2020-01-08,,-
2019-07-08 - 2020-04-25,2020-01-09,,3
2019-07-08 - 2020-04-25,2020-01-10,,-
2019-07-08 - 2020-04-25,2020-01-11,,2
2019-07-08 - 2020-04-25,2020-01-12,,-
2019-07-08 - 2020-04-25,2020-01-13,,3
2019-07-08 - 2020-04-25,2020-01-14,,3
2019-07-08 - 2020-04-25,2020-01-15,,4
2019-07-08 - 2020-04-25,2020-01-16,,1
2019-07-08 - 2020-04-25,2020-01-17,,2,Julkaisun käyttöönotto - 5.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-01-18,,1
2019-07-08 - 2020-04-25,2020-01-19,,4,Julkaisun käyttöönotto - 5.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-01-20,,2
2019-07-08 - 2020-04-25,2020-01-21,,3
2019-07-08 - 2020-04-25,2020-01-22,,1
